accidentYear,longitude,latitude,AccidentSeverityDescription,accidentDate,DayOfWeekDescription,accidentTime,RoadTypeDescription,speedLimit,LightConditionsDescription,tavg,prcp,snow,wspd,month,rad_lng,rad_lat,cluster,Timestamp,TimestampInt
2021,-0.069467,51.473622,Slight,13/10/2021,Wednesday,15:00.0,Unknown,30,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0012124278714829,0.8983841818269886,309,2021-10-13,
2021,-0.064648,51.518048,Slight,16/10/2021,Saturday,16:00.0,Dual carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0011283204548292,0.8991595618004796,43,2021-10-16,
2021,-0.080738,51.524482,Serious,08/10/2021,Friday,40:00.0,Single carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0014091439314751,0.899271856284553,19,2021-08-10,
2021,-0.149741,51.502578,Serious,16/10/2021,Saturday,39:00.0,Unknown,30,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0026134734752288,0.8988895593651961,169,2021-10-16,
2021,-0.102442,51.495168,Slight,16/10/2021,Saturday,30:00.0,Slip road,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.001787950192328,0.8987602304676233,0,2021-10-16,
2021,-0.120089,51.510938,Serious,16/10/2021,Saturday,25:00.0,One way street,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0020959484454274,0.8990354688906629,362,2021-10-16,
2021,-0.152415,51.514113,Slight,16/10/2021,Saturday,10:00.0,Dual carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0026601435794271,0.8990908830944138,153,2021-10-16,
2021,-0.211594,51.45406,Serious,17/10/2021,Sunday,20:00.0,Single carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0036930119774648,0.8980427605187135,219,2021-10-17,
2021,-0.101183,51.452639,Slight,16/10/2021,Saturday,07:00.0,Single carriageway,30,Daylight,10.60000038,0.0,0,7.099999905,10,-0.0017659764970454,0.8980179593900426,323,2021-10-16,
2021,-0.352324,51.527414,Slight,17/10/2021,Sunday,58:00.0,Dual carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0061492138337965,0.8993230293382215,177,2021-10-17,
2021,-0.055734,51.519879,Slight,17/10/2021,Sunday,56:00.0,Single carriageway,30,Darkness - lights lit,11.80000019,0.800000012,0,10.39999962,10,-0.0009727418053065,0.8991915187790838,189,2021-10-17,
2021,-0.055696,51.514366,Slight,17/10/2021,Sunday,49:00.0,Single carriageway,30,Darkness - lights lit,11.80000019,0.800000012,0,10.39999962,10,-0.0009720785801907,0.8990952987774212,121,2021-10-17,
2021,-0.165906,51.430063,Slight,17/10/2021,Sunday,05:00.0,Dual carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0028956059488137,0.8976239338581123,107,2021-10-17,
2021,-0.159564,51.435728,Serious,17/10/2021,Sunday,15:00.0,Single carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0027849171676522,0.8977228067602377,75,2021-10-17,
2021,-0.149088,51.514402,Serious,18/10/2021,Monday,06:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0026020764752133,0.8990959270959519,153,2021-10-18,
2021,-0.023709,51.474532,Slight,18/10/2021,Monday,20:00.0,Single carriageway,20,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0004138001123553,0.8984000643231819,243,2021-10-18,
2021,-0.068339,51.51667,Slight,18/10/2021,Monday,38:00.0,Single carriageway,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0011927405575204,0.8991355111633872,48,2021-10-18,
2021,-0.024046,51.527317,Slight,18/10/2021,Monday,43:00.0,Single carriageway,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0004196818719345,0.8993213363688468,95,2021-10-18,
2021,-0.102849,51.590775,Slight,18/10/2021,Monday,55:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0017950536823836,0.9004288874055776,175,2021-10-18,
2021,-0.352308,51.527459,Slight,18/10/2021,Monday,03:00.0,Single carriageway,20,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0061489345811161,0.8993238147363848,177,2021-10-18,
2021,-0.130564,51.464847,Slight,18/10/2021,Monday,26:00.0,Unknown,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0022787716845738,0.8982310291851262,104,2021-10-18,
2021,-0.19418,51.538585,Slight,18/10/2021,Monday,27:00.0,Single carriageway,30,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0033890803415225,0.8995180000689617,109,2021-10-18,
2021,-0.211177,51.468433,Slight,18/10/2021,Monday,07:00.0,Single carriageway,30,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.003685733954484,0.8982936166921026,401,2021-10-18,
2021,-0.093466,51.474114,Serious,18/10/2021,Monday,52:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.001631289438669,0.8983927688469086,49,2021-10-18,
2021,0.059467,51.519585,Slight,18/10/2021,Monday,05:00.0,Dual carriageway,30,Darkness - lights unlit,12.89999962,0.300000012,0,12.60000038,10,0.0010378949462834,0.8991863875110828,190,2021-10-18,
2021,-0.075434,51.548711,Slight,18/10/2021,Monday,16:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0013165716679494,0.8996947321090186,159,2021-10-18,
2021,0.069409,51.536991,Slight,18/10/2021,Monday,15:00.0,Roundabout,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,0.0012114155805167,0.8994901795206849,9,2021-10-18,
2021,-0.125283,51.494636,Slight,15/10/2021,Friday,25:00.0,Roundabout,20,Darkness - lights lit,11.0,0.0,0,9.800000191,10,-0.002186600846776,0.8987509453160026,98,2021-10-15,
2021,-0.190024,51.384719,Slight,19/10/2021,Tuesday,00:00.0,Roundabout,30,Daylight,17.10000038,1.5,0,21.5,10,-0.0033165444578097,0.8968325317620881,196,2021-10-19,
2021,-0.016655,51.452237,Slight,19/10/2021,Tuesday,45:00.0,Dual carriageway,30,Daylight,17.10000038,1.5,0,21.5,10,-0.0002906845869196,0.8980109431664496,313,2021-10-19,
2021,0.181194,51.57137,Slight,19/10/2021,Tuesday,44:00.0,Roundabout,30,Darkness - lights lit,17.10000038,1.5,0,21.5,10,0.0031624318848586,0.9000902062642281,409,2021-10-19,
2021,-0.070414,51.588969,Slight,16/10/2021,Saturday,30:00.0,Roundabout,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0012289561394992,0.9003973667592866,119,2021-10-16,
2021,-0.131082,51.425368,Serious,19/10/2021,Tuesday,10:00.0,Single carriageway,20,Daylight,17.10000038,1.5,0,21.5,10,-0.0022878124900992,0.8975419906497313,298,2021-10-19,
2021,-0.085948,51.574872,Slight,19/10/2021,Tuesday,07:00.0,Single carriageway,30,Daylight,17.10000038,1.5,0,21.5,10,-0.001500075585504,0.9001513276946328,89,2021-10-19,
2021,-0.16751,51.530132,Serious,20/10/2021,Wednesday,03:00.0,Roundabout,20,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0029236010300157,0.8993704673872907,361,2021-10-20,
2021,-0.033672,51.525411,Slight,20/10/2021,Wednesday,20:00.0,Dual carriageway,20,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0005876872657315,0.8992880703933039,80,2021-10-20,
2021,-0.167073,51.463822,Slight,14/10/2021,Thursday,15:00.0,Single carriageway,20,Daylight,11.39999962,0.0,0,12.60000038,10,-0.0029159739411844,0.8982131395602932,426,2021-10-14,
2021,-0.114816,51.393839,Slight,12/10/2021,Tuesday,00:00.0,Roundabout,20,Darkness - lights lit,10.10000038,0.0,0,11.60000038,10,-0.0020039172339698,0.89699170578987,32,2021-12-10,
2021,-0.092685,51.494209,Slight,20/10/2021,Wednesday,44:00.0,Dual carriageway,30,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0016176584172109,0.8987434927600966,2,2021-10-20,
2021,0.029711,51.525302,Slight,20/10/2021,Wednesday,45:00.0,Single carriageway,30,Darkness - lights lit,14.80000019,18.29999924,0,21.0,10,0.00051855477406,0.8992861679844193,268,2021-10-20,
2021,-0.192772,51.456487,Serious,21/10/2021,Thursday,55:00.0,Single carriageway,20,Darkness - lights lit,8.600000381,20.10000038,0,19.89999962,10,-0.0033645061056545,0.8980851196596594,223,2021-10-21,
2021,-0.10316,51.378525,Slight,20/10/2021,Wednesday,05:00.0,Dual carriageway,20,Darkness - lights lit,14.80000019,18.29999924,0,21.0,10,-0.0018004816563573,0.8967244260682197,113,2021-10-20,
2021,-0.055233,51.49917,Slight,18/10/2021,Monday,20:00.0,Roundabout,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.000963997705754,0.8988300785442882,304,2021-10-18,
2021,-0.124596,51.441856,Slight,21/10/2021,Thursday,22:00.0,Dual carriageway,30,Darkness - lights lit,8.600000381,20.10000038,0,19.89999962,10,-0.0021746104348148,0.8978297605368002,324,2021-10-21,
